reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
67,75,119,0,0,0,5,0.13664040001458488,,0.012102500011678785,0.13664040001458488,1.0021268000127748,1.0021268000127748,1.1521838000044227,3.454082100011874,t,2.4409736999950837,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
40,55,62,0,1,1,3,3.5094103000010364,,3.4958437000168487,3.5094103000010364,4.501489900023444,4.501489900023444,4.5181568000116386,6.38603530000546,l,1.8692759000114165,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
78,80,162,0,2,2,6,6.400784299999941,,6.386812800017651,6.400784299999941,7.4010268000129145,7.4010268000129145,7.4010268000129145,10.068786400021054,t,2.659796499996446,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
11,30,7,0,3,3,0,10.083110800012946,,10.069527300016489,10.083110800012946,11.083484500006307,11.083484500006307,11.083484500006307,11.102984099998139,t,0.01087639998877421,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
27,50,21,0,4,4,2,11.116387700021733,,11.103980800020508,11.116387700021733,12.116394400014542,12.116394400014542,12.116394400014542,12.31980240001576,l,0.19673590001184493,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
49,60,89,0,5,5,4,12.3327901000157,,12.321108100004494,12.3327901000157,13.332800500007579,13.332800500007579,13.332800500007579,13.368098600010853,t,0.02548379998188466,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
15,35,13,0,6,6,1,13.382565900014015,,13.36900050000986,13.382565900014015,14.382287000014912,14.382287000014912,14.382287000014912,14.467386900010752,t,0.08291870000539348,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
67,75,119,1,0,7,5,14.48248780000722,,14.467908100021305,14.48248780000722,15.482144300010987,15.482144300010987,15.482144300010987,15.517370700021274,t,0.023970200010808185,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
11,30,7,1,1,8,0,15.532086000021081,,15.518149400013499,15.532086000021081,16.53193490000558,16.53193490000558,16.53193490000558,16.551103200006764,l,0.010397300007753074,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
15,35,13,1,2,9,1,16.565318600012688,,16.551962400000775,16.565318600012688,17.56542420000187,17.56542420000187,17.56542420000187,17.651611000008415,t,0.0768374000035692,None,135643,001,2024-11-18_11h22.07.708,Delay Discounting Task,2024.1.5,None,2024-11-18 11h22.13.585191 +0530,
