reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,fixation.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
40,55,62,0,0,0,3,0.12237090000417084,,0.008970299997599795,0.12237090000417084,1.0107232000154909,1.0107232000154909,1.066391600004863,l,0.044496399990748614,None,,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
15,35,13,0,1,1,1,1.0782946000108495,,1.067418999999063,1.0782946000108495,2.0770040999923367,2.0770040999923367,2.16388750000624,l,0.07072389998938888,None,2.0937346999999136,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
27,50,21,0,2,2,2,2.176628899993375,,2.1650836000044364,2.176628899993375,3.176716399990255,3.176716399990255,3.229449600010412,l,0.044931800017366186,None,3.176716399990255,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
67,75,119,0,3,3,5,3.243353700003354,,3.230467499990482,3.243353700003354,4.243421599996509,4.243421599996509,4.595998000004329,l,0.3506055000179913,None,4.243421599996509,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
78,80,162,0,4,4,6,4.6094357999973,,4.596738099993672,4.6094357999973,5.609710399992764,5.609710399992764,5.6966016000078525,t,0.08376049998332746,None,5.609710399992764,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
11,30,7,0,5,5,0,5.709344600007171,,5.697547099989606,5.709344600007171,6.709544700017432,6.709544700017432,6.760982800013153,l,0.0477742999792099,None,6.709544700017432,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
49,60,89,0,6,6,4,6.775892200006638,,6.7617257999954745,6.775892200006638,7.775599399989005,7.775599399989005,7.862489299994195,t,0.08203829999547452,None,7.775599399989005,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
40,55,62,1,0,7,3,7.875621200015303,,7.863496700010728,7.875621200015303,8.87558250001166,8.87558250001166,9.178466400015168,t,0.2996354000060819,None,8.87558250001166,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
78,80,162,1,1,8,6,9.19212819999666,,9.179377099993872,9.19212819999666,10.192195700015873,10.192195700015873,10.2612546000164,t,0.053929699992295355,None,10.192195700015873,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
67,75,119,1,2,9,5,10.275007699994603,,10.262165299995104,10.275007699994603,11.274984699994093,11.274984699994093,11.777289099991322,t,0.48949269999866374,None,11.274984699994093,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
11,30,7,1,3,10,0,11.791608100000303,,11.778241499996511,11.791608100000303,12.791592199995648,12.791592199995648,12.81029860000126,t,0.009936600021319464,None,12.791592199995648,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
15,35,13,1,4,11,1,12.824934300006134,,12.81191590000526,12.824934300006134,13.824509400001261,13.824509400001261,13.860313000011956,t,0.01857619997463189,None,13.824509400001261,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
49,60,89,1,5,12,4,13.874146499991184,,13.861471400014125,13.874146499991184,14.874322399991797,14.874322399991797,15.05926609999733,t,0.17118659999687225,None,14.874322399991797,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
27,50,21,1,6,13,2,15.073936800006777,,15.060736200015526,15.073936800006777,16.07397480000509,16.07397480000509,16.12628749999567,t,0.04850050000823103,None,16.07397480000509,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
27,50,21,2,0,14,2,16.140920300007565,,16.12716219999129,16.140920300007565,17.140576900012093,17.140576900012093,17.55939129999024,t,0.40486549999332055,None,17.140576900012093,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
67,75,119,2,1,15,5,17.5732699999935,,17.560424399998737,17.5732699999935,18.57326160001685,18.57326160001685,19.008829700003844,l,0.41986480000196025,None,18.57326160001685,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
11,30,7,2,2,16,0,19.02383550000377,,19.009815600002185,19.02383550000377,20.02316380001139,20.02316380001139,20.257899499993073,l,0.2182223999989219,None,20.02316380001139,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
78,80,162,2,3,17,6,20.273105200001737,,20.258814400003757,20.273105200001737,21.272708400007105,21.272708400007105,21.692745400010608,l,0.41660440000123344,None,21.272708400007105,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
49,60,89,2,4,18,4,21.70611580001423,,21.693664599995827,21.70611580001423,22.706139799993252,22.706139799993252,23.00808820000384,l,0.29026820001308806,None,22.706139799993252,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
15,35,13,2,5,19,1,23.02824350001174,,23.00911690000794,23.02824350001174,24.022543700004462,24.022543700004462,24.32529110001633,l,0.29267450000043027,None,24.03941689999192,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
40,55,62,2,6,20,3,24.338821100012865,,24.32630240000435,24.338821100012865,25.338927700009663,25.338927700009663,25.491567499993835,t,0.1496997999784071,None,25.338927700009663,437829,001,2024-11-18_11h17.35.035,Delay Discounting Task,2024.1.5,None,2024-11-18 11h17.40.218195 +0530,
